level,kanji_final,kanji_ai,hiragana_katakana,romaji_final,english_ai,pos,example_jp,example_en,usage_note
N5,,,はじめまして,hajimemashite,nice to meet you (first time),noun,はじめまして、お名前は？,"Nice to meet you, what's your name?",used in formal settings as a way to greet someone for the first time
N5,,,よろしく おねがいします,yoroshiku onegaishimasu,glad to meet you / please treat me well,,,,
N5,,,こちらこそ,korekara koso,same here,sentence-final particle,この店では、こちらこそお世話になっています。,"At this store, it's me who has to thank you.",
N5,,,おはようございます,ohayou gozaimasu,good morning,expression,は、いたうです?,How are you?,
N5,,,こんにちは,konnichiwa,hello / good afternoon,expression,たうです,Hello,
N5,,,こんばんは,konbanwa,Good evening,interjection,,,
N5,,,はい,hai,yes,adverb,たうです,"Yes, thank you",
N5,,,おやすみなさい,oyasumi nasai,good night,expression,いたうです,Goodnight,
N5,,,しつれいします,shitureiimasu,I'm heading home / excuse me,Polite Form of -teiru Verb,電車にしつれいします。,I'll take the train.,
N5,,,さようなら,sayounara,goodbye,expression,たうです,Goodbye,
N5,,,ひとつ,hitsu,one (item),adjective,一前はしう,One item,
N5,,,ふたつ,futatsu,two (items),num-ord,,,
N5,,,みっつ,mittsu,three (items),adjective,七前はしう,Three items,
N5,,,よっつ,yottsu,four (items),adjective,丈前はしう,Four items,
N5,,,いつつ,itsuutsu,five (items),,,,
N5,,,むっつ,mutsu,six (items),number,このケーキは6個ある。,This cake has six pieces.,The number of items can be used to specify the quantity.
N5,,,ななつ,nana,seven (items),number,七つのりんごが食べれる,Seven apples are edible.,Can be used as a count of quantities in general.
N5,,,やっつ,yattsu,eight (items),adjective,乵前はしう,Eight items,
N5,,,ここのつ,kokonotsu,nine (items),numeral,,,
N5,,,とお,to,ten (items),adjective,千前はしう,Ten items,
N5,,,いくつ,ikutsu,how many?,,,,
N5,,,にく,niku,meat,noun,,Niku o tabemasu.,
N5,,,さかな,saka na,fish,noun,,Sakana wa daijoubu desu.,
N5,,,たまご,tamago,egg,noun,Tamago wa oishii.,The egg is delicious.,
N5,,,おちゃ,ocha,tea (green tea),noun,,Ocha o kudasai.,
N5,,,こうちゃ,koucha,black tea,noun,,Kocha wa nan desu ka?,
N5,,,ジュース,Juusu,juice,,,,
N5,,,ピザ,piza,pizza,noun,,Piza o kudasai.,
N5,,,おねがいします,onegaishimasu,please / I'd like ~,polite verb,,"Onegai shimasu, kudasai.",
N5,,,ください,kudasai,please give me,polite imperative,,,
N5,,,じゃあ,ja,then / in that case,advmod,じゃあ、ご飯を食べましょう。,Then let's have some rice.,"Indicates a subsequent action, often used after a previous statement or sentence."
N5,,,そうです,sō desu,that’s right,adverb,,Sō desu ne!,
